repo,path_or_name,schedule,handler_file,what_it_does,classification,reason,proposed_owner_product
compliance-tracker,vercel.json cron /api/internal/l2-phrase-promotion/run,30 10 * * *,src/app/api/internal/l2-phrase-promotion/run/route.ts,Clusters gap_log rows and asks an LLM to propose L2 phrase maps,GITHUB_ACTIONS,Imports lib/ai/batch/analyse + ai/adapter (OpenRouter LLM); option in cost001-cron-runner.yml,veridian-compliance
compliance-tracker,vercel.json cron /api/internal/role-quality-regression/run,45 10 * * *,src/app/api/internal/role-quality-regression/run/route.ts,Runs LLM eval cases per AI role and stores regressions,KILL,Imports llm-client + roster; PM handout records 0 eval cases so it skips before any LLM (0-case count not re-verified by A07); revive when cases exist,veridian-compliance
compliance-tracker,vercel.json cron /api/internal/crm-lead-scoring/run,0 11 * * *,src/app/api/internal/crm-lead-scoring/run/route.ts,LLM scores up to 20 leads per Sales-enabled org,GITHUB_ACTIONS,"crm-service.ts imports llm-client + orchestra-model-resolver; platform key pays, so needs opt-in and a daily cap; option in cost001-cron-runner.yml",veridian-compliance
compliance-tracker,vercel.json cron /api/internal/crm-lead-followup-alerts/run,15 11 * * *,src/app/api/internal/crm-lead-followup-alerts/run/route.ts,Notifies owners of leads whose next_action_date is overdue,PG_CRON,DB-only notification insert; prepared 27_crm_lead_followup_alerts.sql,veridian-compliance
compliance-tracker,vercel.json cron /api/internal/crm-data-integrity/run,30 11 * * 1,src/app/api/internal/crm-data-integrity/run/route.ts,"Weekly orphan check on crm_leads, console.warn only",KILL,Route has 0 writes and 1 console.warn; one-off SQL if ever wanted,veridian-compliance
compliance-tracker,vercel.json cron /api/internal/crr-catchup-worker/run,*/15 * * * *,src/app/api/internal/crr-catchup-worker/run/route.ts,"Re-drives stuck source_object ingestion: Storage download, extract, chunk, embed",GITHUB_ACTIONS,Node-only: document-extraction-service.ts imports pdf-parse and lib/officecli-client (vendored binary) plus llm-client; maxDuration 300; cannot be an Edge Function or pure SQL; CRR-090 SLO is 1 hour so */15 can become */30; not yet in run-internal-cron.ts options,veridian-compliance
projexa,formerly vercel.json cron /api/internal/email-digest-cadence/run (removed by projexa PR 320 on 2026-09-25 under U-21),0 8 * * *,src/app/api/internal/email-digest-cadence/run/route.ts (calls runDigestCadence in src/lib/email/digest.ts),"Claims due email digest slots, builds via compliance-tracker API (callVeridianResult), sends via Resend",KILL,"Feature unconfigured: poller workflow failed 35 of 35 runs (no PROJEXA_APP_URL variable, no EMAIL_DIGEST_CRON_SECRET secret); depends on the Vercel-hosted compliance-tracker API, which is locked; re-add as EDGE_FN_VIA_PG_CRON only when Resend and the API are live",projexa
compliance-tracker,pg_cron job 1 dpdp-monday-digest,30 0 * * 1,net.http_post to Edge Function URL from vault secret dpdp_timer_url,DPDP weekly digest,EDGE_FN_VIA_PG_CRON,"[existing, live] cron.job active=true; pattern to copy; owned by DPDP track; no run row yet in cron.job_run_details (job may post-date Mon 21 Sep)",dpdp
compliance-tracker,pg_cron job 2 dpdp-legal-clocks,30 3 * * *,net.http_post to Edge Function URL from vault secret dpdp_timer_url,DPDP legal clocks,EDGE_FN_VIA_PG_CRON,"[existing, live] cron.job_run_details: 3 runs succeeded (23, 24, 25 Sep); net._http_response id 7 status 200 at 2026-09-25 03:30:00Z",dpdp
compliance-tracker,.github/workflows/domain-drift-check.yml schedule,*/15 * * * *,.github/workflows/domain-drift-check.yml,Polls Vercel API for projexa-ai.com domain ownership,GITHUB_ACTIONS,[existing] Free on public repo; last 3 runs failed (24-25 Sep) so it currently signals nothing; not a Vercel cron,shared-platform
compliance-tracker,.github/workflows/codeql.yml schedule,30 1 * * 1,.github/workflows/codeql.yml,Weekly CodeQL scan,GITHUB_ACTIONS,[existing] Workflow state is disabled_manually so it never fires,shared-platform
compliance-tracker,.github/workflows/cost001-cron-runner.yml (schedule commented out),none active,scripts/run-internal-cron.ts,"Manual runner for 7 crons, dry_run default true",GITHUB_ACTIONS,"[prepared, not enabled] workflow_dispatch only; needs a CRON_SECRET GitHub secret, which is absent from the repo secret-name list",veridian-compliance
projexa,.github/workflows/claude-nightly-maintenance.yml schedule,30 20 * * *,.github/workflows/claude-nightly-maintenance.yml,Nightly AI maintenance agents,GITHUB_ACTIONS,[existing] Last 3 runs failed (22-24 Sep); not a Vercel cron,projexa
projexa,.github/workflows/email-digest-poll.yml schedule,*/15 * * * *,.github/workflows/email-digest-poll.yml,curls the Vercel-hosted digest route every 15 minutes,KILL,35 of 35 runs failed (latest 2026-09-25T01:56Z); needs a Vercel URL that is locked; delete together with the vercel.json line,projexa
