req_id,source,title,status_in_db,evidence_present,ct_route_module_guess,notes
R-19,REGISTER_80,Weighted Sub-Tasks: Nested sub-task prices off the ROOT,"CLOSED | DONE - VERIFIED (R74 Phase 13, commit 2ffb521e, PR #1606, R74-RULING-0...",N,"v1/construction/boq (line-items, categories)",components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-20,REGISTER_80,Revisions: Revision preserves parent links and breakdown %,CLOSED | DONE - VERIFIED,Y,v1/projexa/scope/[id]/revisions + compare (v1/construction/boq/[id]/revisions),components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-21,REGISTER_80,Revisions: Revision variation vs prior shown,"CLOSED | DONE - VERIFIED (2nd-audit re-confirmed 2026-09-11, wf_b788a77f-d5f: f...",N,v1/projexa/scope/[id]/revisions + compare (v1/construction/boq/[id]/revisions),"components TRUE 7/7; UAT rows 4; spec names this ID only inside a Section-6 heading range, never individually (unanalysed by the spec's own 68-read count); module column is a GUESS from route/file_path/area vs origin/main dirs"
R-22,REGISTER_80,Revisions: Removing a line WITH progress is BLOCKED,"CLOSED | DONE - VERIFIED (2nd-audit re-confirmed 2026-09-11, wf_b788a77f-d5f: f...",N,v1/projexa/scope/[id]/revisions + compare (v1/construction/boq/[id]/revisions),"components TRUE 7/7; UAT rows 4; spec names this ID only inside a Section-6 heading range, never individually (unanalysed by the spec's own 68-read count); module column is a GUESS from route/file_path/area vs origin/main dirs"
R-23,REGISTER_80,Revisions: Reducing qty on a line WITH progress is BLOCKED,"CLOSED | DONE - VERIFIED (2nd-audit re-confirmed 2026-09-11, wf_b788a77f-d5f: f...",N,v1/projexa/scope/[id]/revisions + compare (v1/construction/boq/[id]/revisions),"components TRUE 7/7; UAT rows 4; spec names this ID only inside a Section-6 heading range, never individually (unanalysed by the spec's own 68-read count); module column is a GUESS from route/file_path/area vs origin/main dirs"
R-24,REGISTER_80,Revisions: Percentage-only change detected as variation,"CLOSED | DONE - VERIFIED (2nd-audit re-confirmed 2026-09-11, wf_b788a77f-d5f: f...",N,v1/projexa/scope/[id]/revisions + compare (v1/construction/boq/[id]/revisions),components TRUE 7/7; UAT rows 4; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-30,REGISTER_80,BOQ View: Sumeet can SEE line items of a BOQ,CLOSED | DONE - VERIFIED,Y,v1/projexa/scope (+v1/construction/boq),components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-31,REGISTER_80,BOQ View: Sub-task rows indented and labelled % of parent,CLOSED | DONE - VERIFIED,Y,v1/projexa/scope (+v1/construction/boq),"components TRUE 7/7; UAT rows 3; spec names this ID only inside a Section-6 heading range, never individually (unanalysed by the spec's own 68-read count); module column is a GUESS from route/file_path/area vs origin/main dirs"
R-32,REGISTER_80,BOQ View: BOQ total EXCLUDES sub-tasks (5000 not 6500),CLOSED | DONE - VERIFIED,Y,v1/projexa/scope (+v1/construction/boq),components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-33,REGISTER_80,Reports Roll-up: BACKEND roll-up excludes sub-tasks,CLOSED | CONFIRMED LIVE 2026-09-04 (R74 Phase 5) -- see platform.sumeet_uat R74...,Y,v1/projexa/reports + dashboard,components TRUE 7/7; UAT rows 2; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-40,REGISTER_80,Work Progress: Record partial progress against a weighted sub-task,CLOSED | BLOCKER CLEARED - CORRECTED BY CHAT 22 AUG. Still unverified end to en...,Y,v1/projexa/work-progress (v1/construction/progress),components TRUE 7/7; UAT rows 2; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-41,REGISTER_80,Work Progress: Previous % / Current % / Total % columns,"CLOSED | BUILT - VERIFIED, all gating UAT tests PASS (R46, 25 Aug)",Y,v1/projexa/work-progress (v1/construction/progress),components TRUE 7/7; UAT rows 1; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-42,REGISTER_80,Work Progress: Previous Qty / Current Qty / Total Qty columns,"CLOSED | BUILT - VERIFIED, all gating UAT tests PASS (R46, 25 Aug)",Y,v1/projexa/work-progress (v1/construction/progress),components TRUE 7/7; UAT rows 1; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-43,REGISTER_80,Work Progress: Cum Amt / Current Amt / Balance Amt columns,"CLOSED | BUILT - VERIFIED, all gating UAT tests PASS (R46, 25 Aug)",Y,v1/projexa/work-progress (v1/construction/progress),components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-44,REGISTER_80,Work Progress: Parent cum qty = SUM(child cum qty x breakdown %),"CLOSED | BUILT - VERIFIED, all gating UAT tests PASS (R46, 25 Aug)",Y,v1/projexa/work-progress (v1/construction/progress),components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-45,REGISTER_80,Work Progress: Parent % complete = cum amount / total amount,"CLOSED | BUILT - VERIFIED, all gating UAT tests PASS (R46, 25 Aug)",Y,v1/projexa/work-progress (v1/construction/progress),components TRUE 7/7; UAT rows 2; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-46,REGISTER_80,Work Progress: Progress recorded twice keeps history and does not double count,"CLOSED | DONE - VERIFIED (break-restore OBSERVED 2026-09-11, PM-recorded)",Y,v1/projexa/work-progress (v1/construction/progress),components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-47,REGISTER_80,Work Progress: Progress above 100% rejected or capped,"CLOSED | BUILT SERVER-SIDE - CORRECTED BY CHAT 22 AUG. ""CLIENT ONLY"" was stale.",Y,v1/projexa/work-progress (v1/construction/progress),components TRUE 7/7; UAT rows 2; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-48,REGISTER_80,Work Progress: Daily progress report with photos,"CLOSED | DONE - VERIFIED (R75 Phase 3, projexa commit 2b6bfbb8, PR #245, closes...",Y,v1/projexa/work-progress (v1/construction/progress),components TRUE 7/7; UAT rows 4; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-50,REGISTER_80,"Dashboard: R-50 (EXPANDED per D91, claude_log id 375): the system maintains an INTERNAL view and a CU...","CLOSED | CLOSED 2026-09-13 (R86, PM session): all 7 c1-c7 components TRUE. c2-c...",Y,v1/projexa/dashboard,components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-51,REGISTER_80,Dashboard: Dashboard earned value matches progress,CLOSED | DONE,Y,v1/projexa/reports (earned-value),components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-52,REGISTER_80,Dashboard: Only the LATEST revision is counted,CLOSED | CONFIRMED LIVE 2026-09-04 (R74 Phase 5) -- see platform.sumeet_uat R74...,Y,v1/projexa/dashboard,components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-60,REGISTER_80,Currency: BOQ amounts show AED not rupee,CLOSED | DONE - VERIFIED,Y,v1/projexa/currencies,components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-61,REGISTER_80,Currency: Currency is an ORG SETTING stored as data,CLOSED | DONE - VERIFIED,Y,v1/projexa/currencies,components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-62,REGISTER_80,Currency: Dashboard and other screens show AED,CLOSED | CONFIRMED LIVE 2026-09-04 (R74 Phase 5) -- see platform.sumeet_uat R74...,Y,v1/projexa/currencies,components TRUE 7/7; UAT rows 4; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-63,REGISTER_80,Currency: projexa_demo_org has no currency row - would fall back to rupee,CLOSED | FIXED AT SOURCE - provisioning now persists currency,Y,v1/projexa/currencies,components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-70,REGISTER_80,Import: Load Sumeet real xlsx with sub-tasks and weights,"CLOSED | DONE - VERIFIED, REGRESSION RE-FIXED 2026-09-20/21 (see evidence: foun...",Y,v1/projexa/scope/import (construction-boq-import-service),components TRUE 7/7; UAT rows 1; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-71,REGISTER_80,Import: Malformed row rejected readably,CLOSED | BUILT - malformed-row handling verified in source 22 Aug,Y,v1/projexa/scope/import (construction-boq-import-service),"components TRUE 7/7; UAT rows 1; spec names this ID only inside a Section-6 heading range, never individually (unanalysed by the spec's own 68-read count); module column is a GUESS from route/file_path/area vs origin/main dirs"
R-72,REGISTER_80,Import: Column mapping matches his headers,"CLOSED | DONE - VERIFIED (break-restore OBSERVED 2026-09-11, PM-recorded)",Y,v1/projexa/scope/import (construction-boq-import-service),components TRUE 7/7; UAT rows 1; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-80,REGISTER_80,Selection Layer: ONE full pill path works end to end,"CLOSED | DONE - VERIFIED (PM, 2026-09-13, real CI run + independent break-resto...",Y,v1/projexa/module-chain + chain-options + capability-tree,components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-81,REGISTER_80,Selection Layer: NO visible pill may be unwired - hide the other 402,"CLOSED | DONE - VERIFIED (PM, 2026-09-13, real CI run 34768287839, all 7 compon...",Y,v1/projexa/module-chain + chain-options + capability-tree,components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-82,REGISTER_80,Assistant: Assistant either reaches project data or is hidden,"CLOSED | DONE - VERIFIED (PM, 2026-09-13, real CI run + independent break-resto...",Y,v1/projexa/assistant,components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-90,REGISTER_80,Error Visibility: Real backend message shown in the toast,CLOSED | PARTIAL,Y,none in ct (PROJEXA-side client error surfacing),components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-91,REGISTER_80,Error Visibility: Cold start Failed to fetch on first submit,"CLOSED | DONE - VERIFIED (break-restore OBSERVED, cross-verified independently,...",Y,none in ct (PROJEXA-side client error surfacing),components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-A1,REGISTER_80,Security: Demo admin password rotated before any prospect sees product,CLOSED | DONE 2026-09-14 -- demo admin password rotated and verified via a real...,Y,"none (security/legal/test-gate, not a route)",components TRUE 2/7; UAT rows 3; named individually in spec; closure_test_path empty; closure_commit_sha empty; module column is a GUESS from route/file_path/area vs origin/main dirs
R-A2,REGISTER_80,[removed from the public copy: see the private KT folder],"CLOSED | DONE - VERIFIED (2026-09-12, claude-desktop Super Boss) -- SCOPE-LIMIT...",Y,"none (security/legal/test-gate, not a route)",components TRUE 2/7; UAT rows 3; named individually in spec; closure_test_path empty; closure_commit_sha empty; module column is a GUESS from route/file_path/area vs origin/main dirs
R-A3,REGISTER_80,Security: compliance-tracker repo visibility decision,"CLOSED | DONE - VERIFIED (2026-09-12, claude-desktop Super Boss, live independe...",Y,"none (security/legal/test-gate, not a route)",components TRUE 2/7; UAT rows 3; named individually in spec; closure_test_path empty; closure_commit_sha empty; module column is a GUESS from route/file_path/area vs origin/main dirs
R-A4,REGISTER_80,Security: Tenant isolation - org A cannot read org B BOQ,CLOSED | PASS,Y,v1/projexa/scope (withTenantContext RLS),components TRUE 7/7; UAT rows 4; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-A5,REGISTER_80,Legal: Review of GPLv3 ERPNext / scraped / reverse-engineered code,CLOSED | REVIEWED BY CHAT 22 AUG - NO GPL CODE FOUND. Not a blocker for Sumeet....,Y,"none (security/legal/test-gate, not a route)",components TRUE 2/7; UAT rows 1; named individually in spec; closure_test_path empty; closure_commit_sha empty; module column is a GUESS from route/file_path/area vs origin/main dirs
R-B1,REGISTER_80,Test: ONE Playwright smoke test over the proven path,"CLOSED | CLOSED 2026-09-13 (R86, PM session): all 7 c1-c7 components TRUE, re-v...",Y,"none (security/legal/test-gate, not a route)",components TRUE 7/7; UAT rows 1; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-B2,REGISTER_80,Gate: DEMO GATE - TC-01 TC-10 TC-11 TC-30 TC-40 TC-90 each pass TWICE,CLOSED | CLOSED 2026-09-20 (PROJEXA-E2E-001 sub-task): content gap closed -- TC...,Y,"none (security/legal/test-gate, not a route)",components TRUE 7/7; UAT rows 1; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-A6,REGISTER_80,Security: nanoid CVE-2026-67213 fix merged into veridian-ui-kit,"CLOSED | DONE - VERIFIED, MERGED (R75 Part 2 Phase 1 W1-03 batch 1a, commit 40b...",Y,"none (security/legal/test-gate, not a route)",components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-A7,REGISTER_80,Legal: veridian-ui-kit repo visibility decision,"CLOSED | DONE - VERIFIED (2026-09-12, claude-desktop Super Boss, live independe...",Y,"none (security/legal/test-gate, not a route)",components TRUE 2/7; UAT rows 1; named individually in spec; closure_test_path empty; closure_commit_sha empty; module column is a GUESS from route/file_path/area vs origin/main dirs
R-C01,REGISTER_80,"Module: Permits: Permits register - data entry, upload PDF, permit name, issue date, end date",CLOSED | DONE,Y,v1/projexa/permits,components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-C02,REGISTER_80,Module: Drawings & 3D: Upload drawings and 3D walkthroughs,CLOSED | DONE,Y,v1/projexa/drawings,components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-C03,REGISTER_80,"Module: Documents: Document store - any email, permit-related etc","CLOSED | DONE (WIRED, no second table)",Y,v1/projexa/documents,components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-C04,REGISTER_80,"Module: MoMs: Live-create Minutes of Meeting, save as PDF, share to WhatsApp",CLOSED | DONE,Y,v1/projexa/meetings + veri-meetings,components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-C07,REGISTER_80,"Module: Manpower: Manpower DB (ID, Name, Trade, Salary), daily attendance, trade-wise summary, daily cost re...",CLOSED | DONE,Y,v1/projexa/labour-roster + attendance,components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-C08,REGISTER_80,"Module: Material: Material database, material inbound, spec, cost, qty",CLOSED | DONE,Y,v1/construction/materials,components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-C09,REGISTER_80,"Module: Budget: Budget % defaults to 25%, changeable per scope item; vendor name + vendor amount per scope...",CLOSED | DONE - CAVEAT: vendor NAME resolution is a separate read-side join (co...,Y,v1/construction/boq/line-items + v1/projexa/project-budgets,components TRUE 7/7; UAT rows 4; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-C10,REGISTER_80,Module: Schedule: Project schedule,CLOSED | VERIFIED LIVE 24 AUG (R42 seq1) - task + baseline created via minted s...,Y,v1/projexa/schedule,components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-C11,REGISTER_80,"Module: Reports: Revenue / Budget / Actual, scope-wise and category-wise. ALL REPORTS IN DASHBOARD FORMAT A...",CLOSED | CLOSED 2026-09-11 (PM): all 7 components genuinely TRUE -- narrowed sc...,Y,v1/projexa/reports,components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-C12,REGISTER_80,"Module: Design Studio: Daily timesheets - designer enters daily work, manager validates on review. Date/Project/C...","CLOSED | VERIFIED LIVE 24 AUG (R42 seq2) -- correcting a stale ""out of v1 scope...",Y,v1/projexa/design-materials + mood-boards + floor-plans + ffe,components TRUE 7/7; UAT rows 4; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-C13,REGISTER_80,Scope / Variations: Negative variation must be checked against WPR in case work is already done,CLOSED | ALREADY IN BACKEND - CONFIRMS R-22/R-23,Y,v1/projexa/scope/[id]/revisions + compare (v1/construction/boq/[id]/revisions),components TRUE 7/7; UAT rows 1; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-C14,REGISTER_80,Scope / Variations: Upload site instruction form,CLOSED | DONE (SCHEMA-ASSUMED-INDUSTRY-STANDARD),Y,v1/construction/site-instructions + v1/projexa/site-instructions,components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-C15,REGISTER_80,Export / Share: Save reports as PDF and share to WhatsApp,CLOSED | CLOSED 2026-09-11 (PM): all 7 components genuinely TRUE -- narrowed sc...,Y,v1/projexa/reports/[reportName]/export + share,components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-C16,REGISTER_80,Platform: Institutional Memory (CRR): CRR (Capture / Recall / Reuse): a generic backend capability. CAPTURE -- any artefact from...,CLOSED | CLOSED 2026-09-12 (PM): scope narrowed per R83-RC16-SCOPE-01 to captur...,Y,"none (CRR capture/recall platform, not a projexa route)",components TRUE 7/7; UAT rows 1; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-C17,REGISTER_80,Platform: Email Engine: Owner-initiated 2026-09-13 (not from Sumeet's original spec -- tracked in this register at...,"OPEN | SCOPED 2026-09-13: outbound send already exists (src/lib/email.ts, Res...",N,"none (email engine, no inbound route yet)",components TRUE 6/7; UAT rows 0; named individually in spec; closure_test_path empty; closure_commit_sha empty; module column is a GUESS from route/file_path/area vs origin/main dirs
R-92,REGISTER_80,PROJEXA UX / Left-Right Sync: Left rail and right pane must stay in sync both ways: (1) pressing any left-rail button/mo...,CLOSED | CLOSED,Y,none in ct (PROJEXA shell),components TRUE 7/7; UAT rows 0; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-93,REGISTER_80,PROJEXA: BOQ 4 variables: BOQ must track 4 variables: CONTRACT VALUE (unit numbers + unit price in contract value) a...,"CLOSED | CLOSED 2026-09-18: already built, pre-dating this directive -- BoqDual...",Y,v1/construction/boq + v1/projexa/scope,no rows in sumeet_requirement_components; 0 UAT rows; named individually in spec; closure_commit_sha empty; module column is a GUESS from route/file_path/area vs origin/main dirs
R-94,REGISTER_80,"PROJEXA: Timelines AND Milestones (distinct): A project must show TIMELINES and MILESTONES as two different things, both usable in the U...","CLOSED | CLOSED 2026-09-18: VERIDIAN already had a complete, tested milestone e...",Y,v1/projexa/milestones + schedule,no rows in sumeet_requirement_components; 0 UAT rows; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-95,REGISTER_80,"PROJEXA: Billing milestones (write UI): Billing milestones must be a real, usable feature -- not just visible as a count. Owner di...","CLOSED | RE-CLOSED 2026-09-20 (PROJEXA-E2E-001 phantom-test audit, follow-throu...",Y,v1/projexa/billing-claims,no rows in sumeet_requirement_components; 0 UAT rows; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-96,REGISTER_80,"PROJEXA: Scope of work: Scope of work in a project must be a real, usable concept in PROJEXA. Owner directive 2026...","CLOSED | CLOSED 2026-09-18, WITH A NAMING CAVEAT recorded honestly rather than ...",Y,v1/projexa/scope,no rows in sumeet_requirement_components; 0 UAT rows; named individually in spec; closure_commit_sha empty; module column is a GUESS from route/file_path/area vs origin/main dirs
R-97,REGISTER_80,"PROJEXA: Change of scope of work: Change of scope of work in a project must work end-to-end. Owner directive 2026-09-18, Sum...","CLOSED | CLOSED 2026-09-20 (correction to the 2026-09-18 close, PROJEXA-E2E-001...",Y,v1/projexa/change-orders,no rows in sumeet_requirement_components; 0 UAT rows; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-98,REGISTER_80,"PROJEXA: BOQ change from scope change: BOQ must change/track when scope of work changes. Owner directive 2026-09-18, Sumeet requi...","CLOSED | CLOSED 2026-09-18, WITH A REAL CAVEAT recorded honestly: ScopeReviseCl...",Y,v1/projexa/scope/[id]/revisions,no rows in sumeet_requirement_components; 0 UAT rows; named individually in spec; closure_commit_sha empty; module column is a GUESS from route/file_path/area vs origin/main dirs
R-99,REGISTER_80,"PROJEXA: Combined change/billing/milestone/timeline analysis: For a project: one combined analysis view over change of BOQ, change of scope, billing, mi...",CLOSED | CLOSED 2026-09-18: found boq-analysis-service.ts's getProjectAnalysis/...,Y,v1/projexa/reports/boq-analysis + billing-claims,no rows in sumeet_requirement_components; 0 UAT rows; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-100,REGISTER_80,"PROJEXA: Profit and Loss analysis: Profit and loss analysis for the project. Owner directive 2026-09-18, Sumeet requirement (...","CLOSED | CLOSED 2026-09-18: same Project360Client.tsx screen as R-99, top card ...",Y,v1/projexa/reports/boq-analysis,no rows in sumeet_requirement_components; 0 UAT rows; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
EXC-ITEM-01,EXCEPTIONS_31,"Extra work is done, never captured",NOT_IN_DB (no platform row for this item),N,"v1/projexa/exceptions -> getProjectExceptions() push(1,...) -> findDiaryWithoutProgressEntry","EXC-ITEM-01 is a positional label, NOT an existing ID: the KT directive lists the items in order without IDs; ct code numbers them 1-28 as item. Detector present on origin/main 025eea08 construction-exceptions-service.ts. TRUTH_REPORT_EXCEPTIONS_31.md (2026-09-21, AI-authored, not re-verified here) rates this item in its own table."
EXC-ITEM-02,EXCEPTIONS_31,"Extra work is done, never billed",NOT_IN_DB (no platform row for this item),N,"v1/projexa/exceptions -> getProjectExceptions() push(2,...) -> findApprovedChangeOrdersNeverBilled","EXC-ITEM-02 is a positional label, NOT an existing ID: the KT directive lists the items in order without IDs; ct code numbers them 1-28 as item. Detector present on origin/main 025eea08 construction-exceptions-service.ts. TRUTH_REPORT_EXCEPTIONS_31.md (2026-09-21, AI-authored, not re-verified here) rates this item in its own table."
EXC-ITEM-03,EXCEPTIONS_31,Site builds from the drawing but not confirmed,NOT_IN_DB (no platform row for this item),N,"v1/projexa/exceptions -> getProjectExceptions() push(3,...) -> findUnconfirmedDrawingProgress","EXC-ITEM-03 is a positional label, NOT an existing ID: the KT directive lists the items in order without IDs; ct code numbers them 1-28 as item. Detector present on origin/main 025eea08 construction-exceptions-service.ts. TRUTH_REPORT_EXCEPTIONS_31.md (2026-09-21, AI-authored, not re-verified here) rates this item in its own table."
EXC-ITEM-04,EXCEPTIONS_31,Site builds from the old drawing,NOT_IN_DB (no platform row for this item),N,"v1/projexa/exceptions -> getProjectExceptions() push(4,...) -> findOldDrawingProgress","EXC-ITEM-04 is a positional label, NOT an existing ID: the KT directive lists the items in order without IDs; ct code numbers them 1-28 as item. Detector present on origin/main 025eea08 construction-exceptions-service.ts. TRUTH_REPORT_EXCEPTIONS_31.md (2026-09-21, AI-authored, not re-verified here) rates this item in its own table."
