id,phase,title,source,verify_command,expected_output,status,evidence_ref,owner_blocked
BR-111,1,Sitemap flags the three projexa routes whose compliance-tracker target has no route.ts (DEAD_UPSTREAM),U-02;F-A01-1;M-A01-3,"test ""$(git grep -c -F 'DEAD_UPSTREAM' -- ai-os/projexa-build-001/PROJEXA_ROUTE_SITEMAP_projexa_main.md | awk -F: '{s+=$2} END {print s+0}')"" = ""3""",EXIT 0,pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 1s",no
BR-112,1,[EXIT] CONTRADICTIONS_RESOLVED.md has exactly the headings C-01 to C-10,U-03;WO1.2;D-05,"test ""$(git grep -c -E '^## C-(0[1-9]|10) ' -- ai-os/projexa-build-001/CONTRADICTIONS_RESOLVED.md | awk -F: '{s+=$2} END {print s+0}')"" = ""10""",EXIT 0,pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 1s",no
BR-113,1,"Contradictions record PMD-08 (nullable vs NOT NULL project_id), PMD-12 (pg_cron not Vercel for scheduled work) and C-10 EXECUTORS count 27 (7 writes, 20 reads)",U-03;D-05;F-A03-1;M-A03-6,"test ""$(git grep -h -o -E 'PMD-08|PMD-12|27 \(7 writes, 20 reads\)' -- ai-os/projexa-build-001/CONTRADICTIONS_RESOLVED.md | awk '!s[$0]++{n++} END{print n+0}')"" = ""3""",EXIT 0,pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 1s",no
BR-114,1,[EXIT] REQUIREMENTS_111_REGISTER.csv holds 111 distinct requirement ids (80 R- ids plus EXC-ITEM-01 to EXC-ITEM-31),U-04;WO1.3;D-02;F-A02-1,"test ""$(git grep -h -o -E '^(R|EXC-ITEM)-[0-9A-Z]+,' -- ai-os/projexa-build-001/REQUIREMENTS_111_REGISTER.csv | awk '!s[$0]++{n++} END{print n+0}')"" = ""111""",EXIT 0,pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 1s",no
BR-115,1,"111 register detail: 31 EXC-ITEM rows, 3 META rows, all 111 ids equal the live platform.sumeet_requirements ids (since U-22 migration 0617 the table holds the 31 EXC-ITEM rows too), zero platform.sumeet_gap references [creates scripts/verify/requirements-111.sh]",U-04;D-02;PMD-17;M-A02-2;M-A02-5,bash scripts/verify/requirements-111.sh --live-ids ai-os/projexa-build-001/LIVE_IDS_sumeet_requirements_2026-09-25_after_0617.txt,"EXIT 0; stdout ""REQ111_OK exc=31 meta=3 live_missing=0 live_extra=0 gap_refs=0""",pass,"PM run 2026-09-25 on main 6b2efddb (run_rows.ps1); exit 0, 2s; live ids read through the Supabase SQL tool 2026-09-25 (111 rows) saved in LIVE_IDS_sumeet_requirements_2026-09-25_after_0617.txt (AM-117)",no
BR-116,1,[EXIT] [DATE 2026-09-27] Speed Insights Plus team charge = 0.0000 for the Pacific day 2026-09-26T07:00Z to 2026-09-27T07:00Z (read-only billing script) [creates scripts/verify/vercel-billing-day.sh],U-06;WO1.9;F-A08-1;M-A08-1;PMD-11,"bash scripts/verify/vercel-billing-day.sh 2026-09-26T07:00:00Z ""Speed Insights Plus""","EXIT 0; stdout ""0.0000""",pending,,no
BR-117,1,"Billing script self-test: one GET per call, window 07:00Z to 07:00Z next day, multi-day window refused (exit 2), no POST/PUT/PATCH/DELETE",U-06;WO1.9;F-A08-3;F-A08-4;M-A08-4,bash scripts/verify/run-phase1-selftest.sh,"EXIT 0; output contains ""== BR-116 vercel-billing-day.sh""; output contains ""PASS run-phase1-selftest: 17 positive cases passed, 65 negative cases failed as required""",pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 89.6s; the billing cases sit in run-phase1-selftest.sh (17 positive and 65 negative cases)",no
BR-118,1,"secret-scan job exists in .github/workflows/sentinel.yml on main (gitleaks-action, enforcing since R60 T9)",U-07;WO1.6;F-A11-5;C13,"test ""$(git grep -c -E '^  secret-scan:' -- .github/workflows/sentinel.yml | awk -F: '{s+=$2} END {print s+0}')"" = ""1""",EXIT 0,pass,025eea08,no
BR-119,1,[EXIT] Secret Scanning is a required status check on compliance-tracker main,U-07;WO1.6;M-A07-4,"test ""$(gh api repos/FChecklist/compliance-tracker/branches/main/protection --jq '.required_status_checks.contexts | index(""Secret Scanning"") != null')"" = ""true""",EXIT 0,pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 1s",no
BR-120,1,Planted-secret self-test: gitleaks with the repo .gitleaks.toml rejects a runtime-built fake key in a throwaway repo and accepts a clean commit [creates scripts/verify/secret-scan-selftest.sh],U-07;WO1.6,bash scripts/verify/secret-scan-selftest.sh,"EXIT 0; stdout ""SECRET_SCAN_SELFTEST_OK planted=rejected clean=accepted""",pass,"PM run 2026-09-25 on main 6e499240 with gitleaks 8.30.1 (winget Gitleaks.Gitleaks): SECRET_SCAN_SELFTEST_OK planted=rejected clean=accepted; exit 0, 3s",no
BR-121,1,"[EXIT] CRON_PLACEMENT.csv classifies all 29 Vercel crons still declared (all compliance-tracker; the one projexa cron was removed by U-21, projexa PR 320) with the 5-value enum and >=1 PG_CRON or EDGE_FN_VIA_PG_CRON row; the 6 suffixed values such as 'GITHUB_ACTIONS (existing)' are normalised [creates scripts/verify/cron-placement.sh]",U-08;WO1.7;D-07;E-01,bash scripts/verify/cron-placement.sh,"EXIT 0; stdout ""CRON_PLACEMENT_OK vercel_rows=29 bad_enum=0""",pass,"PM run 2026-09-25 on main d917b8fe (run_rows.ps1); exit 0, 3s; 29 Vercel crons after U-21 removed the projexa one (AM-123)",no
BR-122,1,"EDGE_CANDIDATES.csv: every row MOVE_TO_EDGE, STAY or KILL with a non-empty reason [creates scripts/verify/edge-candidates.sh]",U-09;E-02;F-A10-5;M-A10-1,bash scripts/verify/edge-candidates.sh,"EXIT 0; stdout ""EDGE_CANDIDATES_OK rows=35 bad=0""",pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 1s",no
BR-123,1,Reference note REFERENCE_PG_CRON_PG_NET_EDGE.md names dpdp-legal-clocks as the proven cron to pg_net to Edge path and records dpdp-monday-digest runs = 0 on 2026-09-25,U-10;E-03;F-A09-4;M-A09-2,"test ""$(git grep -h -o -E '^Reference implementation: dpdp-legal-clocks|^dpdp-monday-digest runs as of 2026-09-25: 0' -- ai-os/projexa-build-001/REFERENCE_PG_CRON_PG_NET_EDGE.md | awk '!s[$0]++{n++} END{print n+0}')"" = ""2""",EXIT 0,pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 1s",no
BR-124,1,"dpdp-legal-clocks succeeded runs in the last 3 days = 3 (live; enqueue proof, HTTP 200 proof was net._http_response id 7 at 2026-09-25 03:30Z)",U-10;E-03;F-A09-4,"node scripts/verify/sql-assert.mjs --project ct --sql ""select count(*) from cron.job_run_details d join cron.job j using(jobid) where j.jobname='dpdp-legal-clocks' and d.status='succeeded' and d.start_time > now()-interval '3 days'"" --equals 3","EXIT 0; stdout ""3""",pass,SQL 2026-09-25 07:05Z: 3; re-run 2026-09-25 ~10:15Z through the Supabase SQL tool: 3,no
BR-125,1,"[EXIT] ai-os/SHARED_BOUNDARY.md lists both cron.job entries, the 7 Edge Functions of both projects, the installed extensions, the owning product of each, the claim-before-create rule and dated table counts [creates scripts/verify/shared-boundary.sh]",U-11;E-16;E-17;F-A09-3;F-A12-5;F-A05-6;M-A09-6;PMD-18,bash scripts/verify/shared-boundary.sh,"EXIT 0; stdout ""SHARED_BOUNDARY_OK MISSING=0""",pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 1s",no
BR-126,1,"[EXIT] surface_matrix.json has 28 cells, each with status, record_id, verify_command, all status unproven [creates scripts/verify/surface-matrix.sh]",U-12;WO1.8;D-08,bash scripts/verify/surface-matrix.sh cells,"EXIT 0; stdout ""SURFACE_CELLS_OK cells=28 unproven=28""",pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 1s",no
BR-127,1,"surface_matrix.json record types equal the owner's 7 in order and the exception type maps to the underlying flagged record (non-null, no new table)",U-12;D-08;F-A04-4;M-A04-3;M-A04-6;PMD-19,bash scripts/verify/surface-matrix.sh tables,"EXIT 0; stdout ""SURFACE_TABLES_OK types=7 exception=non-null""",pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 1s",no
BR-128,1,"[EXIT] SECURITY DEFINER functions executable by anon or authenticated outside DPDP = 0 (platform and compliance schemas, plus public names not dpdp_ or pgaudit_)",U-13;WO1.5;D-06;C1;PMD-09,"node scripts/verify/sql-assert.mjs --project ct --sql ""select count(*) from pg_proc p join pg_namespace n on n.oid=p.pronamespace where p.prosecdef and (has_function_privilege('anon',p.oid,'EXECUTE') or has_function_privilege('authenticated',p.oid,'EXECUTE')) and (n.nspname in ('platform','compliance') or (n.nspname='public' and p.proname not like 'dpdp\_%' and p.proname not like 'pgaudit\_%'))"" --equals 0","EXIT 0; stdout ""0""",pass,SQL 2026-09-25 07:05Z: 0 (platform+compliance 0; public non-dpdp 0),no
BR-129,1,"DPDP-track questions Q-D1 (5 anon-callable dpdp functions) and Q-D2 (dpdp_create_client_org, dpdp_my_clients) recorded in OWNER_QUESTIONS.md",U-13;WO2.7;D-06,"test ""$(git grep -h -o -E 'Q-D[12]' -- ai-os/projexa-build-001/OWNER_QUESTIONS.md | awk '!s[$0]++{n++} END{print n+0}')"" = ""2""",EXIT 0,pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 1s",no
BR-130,1,Provider-gate tests T-3 pass: 24-case env matrix plus persisted refusal on the tasks route (falsified by mutation in 12def0de),U-14;T-3;WO2.8;M-A06-1,bun test --isolate src/lib/ai/adapter.gate-2-8.test.ts src/app/api/v1/projexa/tasks/route.gate.test.ts,"EXIT 0; output contains ""36 pass"" and "" 0 fail""",pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 1s",no
BR-131,1,"[EXIT] MCP tools/list advertises exactly the 9 implemented tools, 13 de-advertised (mutation: re-add one unimplemented worker_agents name, test fails)",U-15;WO5.5;C15;F-R10-9,bun test --isolate src/app/api/mcp/route.test.ts,"EXIT 0; output contains "" 0 fail""",pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 1s",no
BR-132,1,"[EXIT] Redaction point 1: AI link mcp/[token] route, member-rank link owner gets budget refused and dashboard money fields null; a link whose owner has no active user row is refused before any tool runs, PMD-33 (mutation: route drops the role, 2 of 5 tests fail)",U-01;WO2.5;Q2;PMD-04;F-A11-1;M-A03-1;M-A11-1,"bun test --isolate src/lib/pipeline/financial-redaction.test.ts -t ""U-01 [(]a[)]""","EXIT 0; output contains "" 5 pass""; output contains "" 0 fail""",pass,"PM run 2026-09-25 on main 77609102 (run_rows.ps1); exit 0, 2s; fifth test now proves the PMD-33 refusal (AM-122)",no
BR-133,1,"[EXIT] Redaction point 2: executor.ts makeDispatchExecutor passes task.role; member gets budget refused and dashboard money null on the dispatch reads (mutation: drop the role, 3 of 18 tests fail)",U-01;PMD-04;F-A11-1,"bun test --isolate src/lib/pipeline/financial-redaction.test.ts src/lib/pipeline/financial-redaction-followups.test.ts -t ""U-01 [(]d[)]|U-01b B1|U-01b B2""","EXIT 0; output contains "" 18 pass""; output contains "" 0 fail""",pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 2s",no
BR-134,1,"[EXIT] Redaction point 3: assistant route with org API key, acting member gets budget refused and no resolvable acting person gets money fields null, never an error (mutation: role from ctx.dbUser only, 4 of 22 tests fail)",U-01;PMD-04;F-A11-1;F-R10-2,"bun test --isolate src/lib/pipeline/financial-redaction.test.ts src/lib/pipeline/financial-redaction-followups.test.ts -t ""U-01 [(][bc][)]|U-01d D1""","EXIT 0; output contains "" 22 pass""; output contains "" 0 fail""",pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 2s",no
BR-135,1,"[EXIT] Redaction point 4: construction-tools role null or undefined redacts financial fields and refuses the budget (mutation: restore the fail-open default, 8 of 14 tests fail)",U-01;PMD-04;F-A11-1,"bun test --isolate src/lib/pipeline/financial-redaction.test.ts src/lib/pipeline/financial-redaction-followups.test.ts -t ""U-01 [(]d[)]|U-01b B3|U-01d D2""","EXIT 0; output contains "" 14 pass""; output contains "" 0 fail""",pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 2s",no
BR-136,1,Fail-open default 'ROLE_RANK.manager : true' removed from construction-tools.ts (1 match at line 95 on 025eea08),U-01;PMD-04;M-A11-1,"test ""$(git grep -c -E 'ROLE_RANK\.manager : true' -- src/lib/task-execution/construction-tools.ts | awk -F: '{s+=$2} END {print s+0}')"" = ""0""",EXIT 0,pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 1s",no
BR-137,1,"[EXIT] External AI link makes zero server-side model calls: runLevel1 spy calls = 0 under unset, claude-cli, claude-cli-remote, openrouter (mutation: restore runSubmission, test fails with -32000)",U-43;PMD-02;F-A06-1;M-A06-1;M-A06-2,"bun test --isolate ""src/app/api/mcp/[token]/route.gate.test.ts""","EXIT 0; output contains "" 0 fail""",pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 1s",no
BR-138,1,External AI link on a Level 0 miss returns candidate function ids and missing parameters to the external AI,U-43;PMD-02,"bun test --isolate ""src/app/api/mcp/[token]/route.gate.test.ts"" -t ""candidate""","EXIT 0; output contains "" 0 fail""",pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 1s",no
BR-139,1,"External AI link route passes level1: ""off"" on both runSubmission calls (submit_task and ask): no path to the internal AI on that traffic",U-43;PMD-02;M-A06-2,"test ""$(git grep -c -F 'level1: ""off""' -- ':(literal)src/app/api/mcp/[token]/route.ts' | awk -F: '{s+=$2} END {print s+0}')"" = ""2""",EXIT 0,pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 1s",no
BR-140,1,Plan package present in KT Drive folder PROJEXA_BUILD-001_PLAN_2026-09-25 with byte sizes equal to the repo copies (read-only listing) [creates scripts/verify/kt-drive-plan.sh],U-05;PMD-21,bash scripts/verify/kt-drive-plan.sh,"EXIT 0; stdout ""KT_PLAN_OK missing=0 size_mismatch=0""",pass,"PM run 2026-09-25 after the final upload of the private package (PKG_DIR set to the private package copy): KT_PLAN_OK missing=0 size_mismatch=0; exit 0, 5s",no
BR-201,2,[ENTRY] Phase 1 plan lint still exits 0,U-00;U-05;WO1.4;D-03;D-04,python ai-os/projexa-build-001/lint_plan.py ai-os/projexa-build-001,"EXIT 0; stdout last line ""SUMMARY FAILS=0""",pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 1.1s",no
BR-202,2,"[ENTRY] Phase 1 redaction, gate matrix and zero-server-L1 tests still pass",U-01;U-14;U-43;WO2.5;WO2.8;T-3;M-A06-1;M-A11-1,"bun test --isolate src/lib/pipeline/financial-redaction.test.ts src/lib/ai/adapter.gate-2-8.test.ts ""src/app/api/mcp/[token]/route.gate.test.ts"" src/app/api/v1/projexa/tasks/route.gate.test.ts","EXIT 0; stdout contains ""0 fail""",pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 2s",no
BR-203,2,Owner answers Q5 and Q6 recorded as PMD-07 and PMD-08 in the committed plan,U-16;WO-Q5;WO-Q6;PMD-07;PMD-08;C5,"test ""$(git grep -c -E '^\*\*PMD-0[78] ' -- ai-os/projexa-build-001/PM_DECISIONS.md | awk -F: '{s+=$2} END {print s+0}')"" = ""2""",EXIT 0,pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 1s",no
BR-204,2,Schema hash SQL carries a grants section from information_schema.role_table_grants,U-17;D-10;WO2.6;M-A05-6,"test ""$(git grep -c -E 'role_table_grants' -- scripts/verify/schema-hash.sql | awk -F: '{s+=$2} END {print s+0}')"" = ""1""",EXIT 0,pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 1s",no
BR-205,2,"Phase 2 verify scripts committed, each with a '# register: BR-2nn' header line (3 scripts)",U-17;U-21;D-10,"test ""$(git grep -c -E '^# register: BR-2[0-9]{2}$' -- scripts/verify/rollback-rehearsals.sh scripts/verify/rollback-replay.sh scripts/verify/vercel-invocations.sh | awk -F: '{s+=$2} END {print s+0}')"" = ""3""",EXIT 0,pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 1s",no
BR-206,2,"[EXIT] Aborted-transaction rollback rehearsal logged PASS_ROLLED_BACK (h2 equals h0, down file present) for every migration in PHASE2_MIGRATIONS.txt (fails when a listed migration has no log line)",U-17;D-10;WO2.6;PMD-10;C10;F-A05-4;M-A05-2,bash scripts/verify/rollback-rehearsals.sh,"EXIT 0; stdout last line ""REHEARSAL_MISSING=0""",pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 1s",no
BR-207,2,PGlite replay of each phase 2 migration forward then down restores the schema hash (no paid Supabase branch),U-17;D-10;PMD-10;C10;M-A11-5,bash scripts/verify/rollback-replay.sh,"EXIT 0; stdout last line ""SCHEMA_HASH_MISMATCH=0""",pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 11.1s",no
BR-208,2,"platform.user_ai_links has one CHECK containing project_id IS NOT NULL: user_ai_links_projexa_shape, which requires project_id, token_hash, expires_at and a NULL token for a projexa row and leaves a veridian row unchanged",U-18;WO2.1;PMD-08;C5;F-A03-2;M-A03-2,"node scripts/verify/sql-assert.mjs --project ct --sql ""select count(*) from pg_constraint where conrelid = 'platform.user_ai_links'::regclass and contype = 'c' and pg_get_constraintdef(oid) like '%project_id IS NOT NULL%'"" --equals 1","EXIT 0; stdout ""1""",pass,"SQL 2026-09-25: 1 (Supabase MCP execute_sql on verdian-ai at 11:56Z, matches expected)",no
BR-209,2,"No projexa link exists without a project: the 2 legacy VERIDIAN chat links keep product 'veridian' and stay active (PMD-26 OD-13), so nothing is revoked",U-18;PMD-08;WO-Q6,"node scripts/verify/sql-assert.mjs --project ct --sql ""select count(*) from platform.user_ai_links where product = 'projexa' and project_id is null and revoked_at is null"" --equals 0","EXIT 0; stdout ""0""",pass,"SQL 2026-09-25: 0 (Supabase MCP execute_sql on verdian-ai at 11:56Z, matches expected)",no
BR-210,2,"[EXIT] Link minted for project A returns HTTP 403 on a write to project B, 0 rows staged (mutation: remove the project check, test must fail)",U-18;WO2.4;F-R10-4,"bun test --isolate ""src/app/api/mcp/[token]/route.project-scope.test.ts""","EXIT 0; stdout contains ""0 fail""",pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 2s",no
BR-211,2,compliance.api_keys.project_id exists and is nullable,U-19;WO2.2;PMD-08;C5;F-A03-2;M-A11-3,"node scripts/verify/sql-assert.mjs --project ct --sql ""select is_nullable from information_schema.columns where table_schema = 'compliance' and table_name = 'api_keys' and column_name = 'project_id'"" --equals YES","EXIT 0; stdout ""YES""",pass,"SQL 2026-09-25: YES (Supabase MCP execute_sql on verdian-ai at 11:56Z, matches expected)",no
BR-212,2,compliance.api_keys key_kind CHECK allows only org_service and project_ai,U-19;PMD-07;PMD-08,"node scripts/verify/sql-assert.mjs --project ct --sql ""select count(*) from pg_constraint where conrelid = 'compliance.api_keys'::regclass and contype = 'c' and pg_get_constraintdef(oid) like '%org_service%' and pg_get_constraintdef(oid) like '%project_ai%'"" --equals 1","EXIT 0; stdout ""1""",pass,"SQL 2026-09-25: 1 (Supabase MCP execute_sql on verdian-ai at 11:56Z, matches expected)",no
BR-213,2,project_ai key for project A gets HTTP 403 on project B at validateApiKey and at runSubmission; org_service key unchanged,U-19;WO2.2;PMD-07,bun test --isolate src/lib/supabase/api-key-project-scope.test.ts,"EXIT 0; stdout contains ""0 fail""",pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 2s",no
BR-214,2,"logActivity stores api_key_id and the acting user_id in one audit row (mutation: restore apiKeyId null at audit.ts:115, test must fail)",U-20;D-09;C6;F-A05-1;M-A05-1,bun test --isolate src/lib/audit.test.ts,"EXIT 0; stdout contains ""0 fail""",pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 1s",no
BR-215,2,API-key write with no actorEmail and no X-Acting-User header returns HTTP 400; linked actor gets 2xx with audit user_id set,U-20;C6;F-A01-6,bun test --isolate src/lib/supabase/acting-user-required.test.ts,"EXIT 0; stdout contains ""0 fail""",pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 2s",no
BR-216,2,[EXIT] Amended D-09: key-attributed audit rows with no person in the last 7 days,U-20;D-09;WO2.3;F-A05-1;F-A11-6;M-A05-1;M-A11-3,"node scripts/verify/sql-assert.mjs --project ct --sql ""select count(*) from compliance.audit_logs where created_at > now() - interval '7 days' and (api_key_id is not null or actor_role = 'api_key') and user_id is null"" --equals 0","EXIT 0; stdout ""0""",pass,"SQL 2026-09-26 (Supabase MCP execute_sql on verdian-ai, the row's own query returned the expected value); exit 0, 1s",no
BR-217,2,D-09 non-vacuity partner: at least 1 audit row with key id and person in the last 7 days (fixture key write),U-20;D-09;M-A05-1,"node scripts/verify/sql-assert.mjs --project ct --sql ""select (count(*) >= 1)::int from compliance.audit_logs where created_at > now() - interval '7 days' and api_key_id is not null and user_id is not null"" --equals 1","EXIT 0; stdout ""1""",pending,SQL 2026-09-25: 0 of 267 key rows have user_id,no
BR-218,2,"Four-surface contract recorded: one table row per surface key s1..s4, all writing one record_id attributed to the acting person",U-12;U-49;D-08;WO-D-08,"test ""$(git grep -c -E '^\| s[1-4]_' -- ai-os/projexa-build-001/FOUR_SURFACE_CONTRACT.md | awk -F: '{s+=$2} END {print s+0}')"" = ""4""",EXIT 0,pass,"run 2026-09-25 on main 09faa2e4 via run_rows.ps1; exit 0, 1s",no
BR-219,2,"[EXIT] Level 1 gate compares the acting person: RAJAT_USER_ID equal to the org key id and a non-owner actor gives level1_outcome refused on re-read (mutation: compare the key id, test must fail)",U-49;PMD-02;F-A06-2;M-A06-3,bun test --isolate src/lib/ai/gate-identity.test.ts,"EXIT 0; stdout contains ""0 fail""",pass,"PM run 2026-09-25 on main 61f34613 (U-49 merged as #1859); exit 0, 2s",no
