id,area,title,source,verify_command,expected_output,status,evidence_ref,owner_blocked
AW-404,mint,The warning text is true for the current state (no promise of writes while writes are off),WP-08,bun test --isolate src/lib/services/ai-work-link-warning.test.ts,0 fail,pending,,no
AW-405,mint,PROJEXA dialog: a signed-in user opens a project clicks AI work link chooses level and days sees the warning gets the link once with a Copy button and can revoke (Playwright),WP-08,bash scripts/verify/projexa-playwright.sh e2e/ai-link-mint.spec.ts,0 fail,pending,,no
AW-406,mint,New project with my AI: one click creates a shell project and a link for the same user,WP-08;WP-03,bun test --isolate src/lib/services/ai-work-link-shell-project.test.ts,0 fail,pending,,no
AW-501,write,Drafts are recorded live at level 0 and return a confirm url; nothing changes until confirmed,WP-09,bun test --isolate src/lib/services/ai-work-link-drafts.test.ts,0 fail,pending,,no
AW-502,write,A link write is recorded with executor ai and via ai_link and model_calls 0 and level1_outcome not_needed,WP-09,bun test --isolate src/lib/pipeline/run-direct-task.link.test.ts,0 fail,pending,,no
AW-503,write,Effective level and function list are recomputed from the live role on every call and the manual and context show the true level and availability,WP-09,bun test --isolate src/lib/services/ai-work-link-effective-level.test.ts,0 fail,pending,,no
AW-504,write,ai-work-link-exec bundles for Deno within the size limit and its import closure has no next/* module,WP-09,node scripts/verify/awl-exec-closure.mjs,EXIT 0,pending,,no
AW-505,write,executeIntent on the local execution host: a level-1 write lands attributed to the person and a demoted person is refused ROLE_CHANGED,WP-09,bun test --isolate src/lib/services/ai-work-link-exec.test.ts,0 fail,pending,,no
AW-506,write,Same-project id check refuses another project's roster issue BOQ line or BOQ and writes 0 rows,WP-09,bun test --isolate src/lib/services/ai-work-link-exec-scope.test.ts,0 fail,pending,,no
AW-507,write,Write caps 30 per hour and 200 per day and idempotent replay,WP-09,bun test --isolate src/lib/services/ai-work-link-exec-caps.test.ts,0 fail,pending,,no
AW-508,write,Level-2 confirm: a draft is executed only by the link's own signed-in person; another person gets 403 and the confirm code is single use,WP-09,bun test --isolate src/lib/services/ai-work-link-confirm.test.ts,0 fail,pending,,no
AW-509,write,Static inbox and confirm pages keep the confirm code show the parameters and can sign in (authKey set),WP-09,bun test --isolate src/lib/ai-links/awl-static-pages.test.ts,0 fail,pending,,no
AW-510,write,Kill switch drill: with writes_enabled false every write answers 503 and no row is written,WP-09,bash scripts/verify/awl-killswitch-drill.sh,EXIT 0,pending,,no
AW-511,write,The enable-writes migration exists unapplied with its down file and the owner kit is complete,WP-09,node scripts/verify/build002-register-check.mjs --owner-kit,EXIT 0,pending,,no
AW-601,way1,Way 1: human upload in PROJEXA creates a new project and populates it from the ZOOMIES file (Playwright plus database re-read),WP-10;WP-01,bash scripts/verify/way1-zoomies.sh,EXIT 0,pending,,no
AW-602,way2,Way 2: the internal chat with the file attached creates the project and populates it with model_calls metered per user and organisation,WP-11,bash scripts/verify/way2-zoomies.sh,EXIT 0,pending,,no
AW-603,way3,Way 3: an external AI given only the link reads the ZOOMIES workbook itself and creates and fills the project through the link (local execution host),WP-14,bash scripts/verify/way3-zoomies.sh,EXIT 0,pending,,no
AW-604,way4,Way 4: an email with the ZOOMIES attachment produces a proposal listing the whole BOQ that the person confirms,WP-12,bash scripts/verify/way4-zoomies.sh,EXIT 0,pending,,no
AW-605,way5,Way 5: a file dropped in the watched mailbox or folder produces the same proposal with no human trigger,WP-13,bash scripts/verify/way5-zoomies.sh,EXIT 0,pending,,no
AW-606,way,In every way the project total re-read from the database equals 1596280 and each line is attributed to a real person,WP-14,bash scripts/verify/ways-reconcile.sh,EXIT 0,pending,,no
AW-701,persona,Persona: Sumeet manages the ZOOMIES project through the link (daily progress RFIs punch list change orders billing proposals KPI meetings timesheets reports exceptions) with each result re-read from the database,WP-14,bash scripts/verify/persona-zoomies.sh,EXIT 0,pending,,no
AW-702,persona,Persona: a member-role link sees no money and cannot write money functions and a link for another project is refused,WP-14,bash scripts/verify/persona-roles.sh,EXIT 0,pending,,no
AW-703,persona,Persona cleanup: every throwaway link is revoked and every demoted demo user is restored,WP-14,bash scripts/verify/persona-cleanup-check.sh,EXIT 0,pending,,no
AW-901,live,Live: writes switched on by the owner and the persona run repeats against the live function,WP-14,bash scripts/verify/persona-zoomies.sh --live,EXIT 0,pending,,yes
AW-902,live,Live: extraction provider set by the owner and the ZOOMIES file extracts through the model route within the cost cap,WP-02,bash scripts/verify/p5-extraction-idempotent.sh,EXIT 0,pending,,yes
AW-903,live,Live: PROJEXA release deployed by the owner shows the upload mint and approvals screens,WP-08;WP-10,bash scripts/verify/projexa-live-screens.sh,EXIT 0,pending,,yes
AW-904,live,Live: inbound email DNS and keys set by the owner and the ZOOMIES email arrives,WP-12,bash scripts/verify/way4-zoomies.sh --live,EXIT 0,pending,,yes
AW-905,live,Owner acceptance with real ChatGPT Gemini Claude DeepSeek and the others,WP-14,see BR-588 to BR-597,recorded yes or no per AI,pending,,yes
